feat_MedInc,feat_HouseAge,feat_AveRooms,feat_AveBedrms,feat_Population,feat_AveOccup,feat_Latitude,feat_Longitude,price,Latitude,Longitude,shap2_0,shap2_1,shap2_2,shap2_3,shap2_4,shap2_5,shap2_6,shap2_7,shap2_8,shap2_9,shap2_10,shap2_11,shap2_12,shap2_13,shap2_14,shap2_15,shap2_16,shap2_17,shap2_18,shap2_19,shap2_20,shap2_21,shap2_22,shap2_23,shap2_24,shap2_25,shap2_26,shap2_27,umap_1,umap_2,cluster
1.5174,43.0,4.609004739336493,0.9786729857819904,1492.0,3.5355450236966823,36.76,-119.77,0.546,36.76,-119.77,-0.03848120009692364,-0.03425195594979053,0.0017593933801967594,-0.0013674570414286967,0.04577097511018451,-0.044927456801260354,-0.004810961086914768,-0.0017115894811963216,-0.00045744370100402905,0.0005971552069147746,-0.011629688527761637,0.006012578990473507,0.0008667650056164228,0.0006466417454014473,0.0005320225081655501,0.005069290408118325,0.0032851487540993037,-0.0005676483305849024,-0.0012233743008637132,-0.0038626649984010086,0.00794945365107204,-0.0052060117550055815,-0.001026356752214031,0.00382318155974618,-0.0015914118993162823,-0.015182644277812397,-0.017983197532952536,-0.2655887302017324,-4.2906246,1.5920937,0
4.087,26.0,5.651376146788991,1.036697247706422,1952.0,5.969418960244648,37.34,-121.83,1.825,37.34,-121.83,0.0051190427976674354,0.010653009654623437,0.00042500526620398204,-0.001218819156254742,-0.04338413171068564,0.028699862084634466,-0.016001392318719814,0.0009869181284818413,-0.00036794357953460354,-0.00030101722860925994,-0.011353576143660473,-0.002680325180169978,0.000698905284412323,0.0002889727974171839,0.00025197564520850233,-0.002379421338738195,-0.0029713176421737007,0.002728232414583743,-0.0002105003464589391,0.001105157124676623,-0.0039827690667057734,-9.193651777324193e-05,-0.001524283610258118,0.0012595517846270637,0.00048458010686143623,-0.010006323050760163,0.019142492352323025,-0.04964859111136667,9.573118,9.69437,2
3.7159,52.0,4.574829931972789,0.9897959183673468,560.0,1.9047619047619049,37.78,-122.45,4.944,37.78,-122.45,0.03592074718632798,0.010996018685091768,-0.0036911541593399027,0.0005126256334025983,0.16034189069587193,0.03175308064887085,0.07429287288023227,0.0029400501411304715,0.001452200969615661,0.0019510961773518284,0.11729295715643252,0.0021009280730822978,0.0017923104854730364,0.0010175013694520864,-0.0024119873760194742,-0.005957929483005116,0.015156264543562456,0.024478014320874097,0.00201136464084554,-0.009865174715543913,0.004197478106043456,0.01740052255299203,0.0041515708869765775,-0.0021414239983045865,0.0027416188296852744,0.03232030473188284,-0.03136353618193968,0.13362939904855015,13.422525,6.6915717,1
1.9066,31.0,4.217570350034317,1.0240219629375429,5666.0,3.888812628689087,35.26,-118.9,0.546,35.26,-118.9,-0.008028447855048627,-0.014808410768574415,0.0019472889780936893,-2.515511927567225e-05,0.04645021268387241,-0.03290286232026913,-0.003408745513672266,0.0013914353574398391,-0.0005267252586302852,0.000839989804060103,-0.008895676680124231,0.0035196586705989854,0.0008090986387074839,0.0004738195353917401,0.0008427651236748418,0.004843421003787208,-0.004476419297113616,0.0010531858154105144,-0.001276403350833516,0.0019025128743626804,-0.004312297439423496,-0.005983438019817626,0.0031106497967299477,-0.01075896920477208,0.0006033984595819256,-0.021263639811714443,-0.015562827830149775,-0.21689248753290175,-3.8091583,2.8210933,0
5.0893,25.0,4.393530997304582,0.9514824797843666,1546.0,4.16711590296496,37.47,-122.13,1.734,37.47,-122.13,0.010384430205803557,0.0017606319978660677,0.0006970256350176004,0.0002746502148434125,-0.04394992209542711,0.021629229524901056,-0.007701086304667951,0.001792663591434211,-0.0005867606290963878,0.0013058662492088872,-0.009627677978201726,-0.00355727193572357,0.0006021900815897711,-6.524567843447019e-05,0.0009672052210594854,-0.0023592295844288777,-0.0022021970442133625,-0.00459784142858607,-0.0005394993913219635,-0.0012908752986799269,0.009283309066335604,0.018377723386709535,-0.0007458843730981833,-7.865311225871396e-05,0.0010856025023263608,-0.008891993244689827,0.018051503874569125,-0.003296140989909426,9.785464,9.661416,2
2.6648,39.0,5.598705501618123,1.0032362459546926,899.0,2.9093851132686086,36.4,-119.18,1.292,36.4,-119.18,-0.041493609579703876,-0.027783771932092263,0.0014379351216571895,-0.0012519823403532777,0.02575641031518938,-0.033492356426748256,-0.004046547351157477,-0.0021992030107608096,-0.0005214339717101895,0.0008634999917900152,-0.008128591344874276,0.004914338337311661,0.0010650357116716673,0.0027066954915933106,0.00035995665588289485,-0.006010384130690404,-0.008320517364359827,-0.002992621131059533,-0.0004930780794957535,0.0020667334830670857,0.001355703845947645,-0.0037769034755979597,0.0012931897684899307,0.0014561056287479529,-0.00043466372213301653,-0.03251431138182104,-0.004462906256657992,-0.2552959025356717,-3.4023292,1.7733877,0
2.6042,46.0,4.489563567362429,1.0910815939278935,1647.0,3.1252371916508537,37.79,-122.22,1.247,37.79,-122.22,-0.0407234895022475,0.0013747162915889782,-0.0020346348590121006,-0.0022107923941184415,0.038310779923362244,-0.03346437298290888,0.011622580841251702,7.97746125263473e-05,-0.000280700588891166,0.0005016433434607904,-0.010742414552657885,-0.004291775390952086,0.00039039217037578123,-0.0016702435901800783,-1.732655595759111e-05,0.005198233153178801,0.004900877975917318,-0.003594371883402558,0.00044008161884305193,-0.0016760598213674547,-0.0012381757458314812,-0.0025194606310758134,-6.336610520825921e-05,0.0007154618620354358,0.00023204051390905676,-0.019547313354542493,-0.016911918694552854,-0.13767603820102978,2.3914862,8.251866,2
4.1696,30.0,6.083333333333333,1.0277777777777777,1372.0,3.175925925925926,36.74,-121.64,1.75,36.74,-121.64,0.00741621692321491,0.01515741021899909,0.0007648767195564355,-0.0010184354118549705,-0.039484772859662544,0.026049545471098334,-0.017427667485277843,0.0008993984836020713,-0.0004119205373992258,0.0007159179635374199,-0.014966115016398418,0.005268754240375668,0.0004535180442183989,0.00017210518622854146,-5.0862348735044276e-05,-0.0015151672121683744,-0.0003682016242888784,0.0023037271150106917,-0.0005032392331403027,0.0016923384214580094,0.007023002643043946,-0.005938809560858012,0.0004057965709869032,0.002602597759583483,0.0010357395057478092,-0.023656537521600747,-0.006033321949366521,-0.07397458823859802,9.330077,9.47679,2
2.8393,26.0,3.696969696969697,1.0649350649350648,396.0,1.7142857142857142,37.58,-122.35,3.75,37.58,-122.35,0.0016504298739389136,0.03800168357252403,0.00016349418335454902,-0.001512286895908464,-0.015727136210161155,-0.009137258637994632,0.041504770827150345,0.00297742181856756,0.000192324087779537,-0.0021728683642790072,0.03336543463684025,-0.000703120824688538,-0.0006056607695804604,0.001799094304996298,0.0008279310027668701,0.011768957206457063,0.00025631165321330046,-0.002443444001764097,-0.0012048256375644813,0.0051622964941255975,-0.019981117710026034,-0.0086314254973561,-0.0008105910686580966,-0.0005836601395931137,0.0008887246996069211,0.040383674373017875,0.061689434203176116,-0.020634789611771856,8.691302,9.294814,2
3.2028,32.0,4.217270194986073,1.1350974930362117,1704.0,2.3732590529247912,37.78,-122.49,3.229,37.78,-122.49,-0.001926531328751039,0.039556504065790025,-0.0019254302930591615,-0.0021534918999691404,0.03082808329549028,0.02796333082380561,0.11996034396945204,0.0020706705765836876,0.00034704435412616743,0.00046185218392087344,0.013990665364676918,0.003401930142127458,0.0010847426603434868,-0.0012876314677809104,-0.0001379782324087577,-0.002776046299922099,0.01367147988097298,0.027535895699973178,0.0003656278415282954,-0.0016112088903026149,-0.004455173614170883,-0.020097448958937815,-0.00033507492716240846,0.000613809390642469,0.0025058873760758385,0.015381275837605658,0.021303574881037672,0.12708008067820514,14.042084,6.0457997,1
