feat_MedInc,feat_HouseAge,feat_AveRooms,feat_AveBedrms,feat_Population,feat_AveOccup,feat_Latitude,feat_Longitude,price,Latitude,Longitude,main_MedInc,main_HouseAge,main_AveRooms,main_AveBedrms,main_Population,main_AveOccup,main_Latitude,main_Longitude,joint_00_main_MedInc,joint_01_main_Latitude,joint_02_main_Longitude,joint_03_main_AveOccup,joint_04_main_AveRooms,joint_05_main_HouseAge,joint_06_main_Population,joint_07_main_AveBedrms,joint_08_inter_Latitude×Longitude,joint_09_inter_MedInc×AveOccup,joint_10_inter_HouseAge×AveOccup,joint_11_inter_MedInc×AveRooms,joint_12_inter_MedInc×Longitude,joint_13_inter_MedInc×HouseAge,joint_14_inter_MedInc×Latitude,joint_15_inter_AveOccup×Latitude,joint_16_inter_HouseAge×Latitude,joint_17_inter_AveOccup×Longitude,joint_18_inter_HouseAge×Longitude,joint_19_inter_AveRooms×Latitude,umap_1,umap_2,cluster,cluster_refined,umap_1_refined,umap_2_refined,cluster_two
0.4999,52.0,2.6,0.7333333333333333,74.0,1.6444444444444444,33.93,-118.28,0.906,33.93,-118.28,-0.41645768,0.13528697,-0.169503,0.018419474,0.09660693,0.6506611,0.2865963,-0.14708263,-0.41645768,0.2865963,-0.14708263,0.6506611,-0.169503,0.13528697,0.09660693,0.018419474,-0.057327554,-0.14118095,0.06405297,0.13565736,-0.0053806007,-0.11376935,-0.023170963,0.025117606,-0.05360043,0.017689958,-0.0037436783,-0.0029155612,8.731555,5.8660693,1,0,2.523885,6.1191645,1
3.2813,31.0,6.162679425837321,1.0956937799043065,1306.0,3.124401913875598,36.8,-119.69,0.687,36.8,-119.69,-0.19830906,0.049988568,0.073778816,0.03809047,-0.0018352349,-0.13291827,-0.054056168,0.51254046,-0.19830906,-0.054056168,0.51254046,-0.13291827,0.073778816,0.049988568,-0.0018352349,0.03809047,-0.62170434,0.0018193275,-0.015885547,0.0319414,0.001189135,-0.01381347,-0.04445982,-0.024584591,-0.005470246,-0.00135272,-0.0026666,-0.032366842,2.8459952,7.7560472,6,4,10.74151,9.183917,0
10.1299,25.0,8.23963133640553,0.935483870967742,676.0,3.115207373271889,33.84,-117.82,4.543,33.84,-117.82,2.0789812,0.0019903388,0.39061433,0.009470079,-0.041759793,-0.13423806,0.41955614,-0.3394172,2.0789812,0.41955614,-0.3394172,-0.13423806,0.39061433,0.0019903388,-0.041759793,0.009470079,0.042304024,0.07907272,-0.00350649,-0.07381213,-0.0672625,0.0036493274,-0.058841303,3.6373734e-05,0.0145044625,0.015319243,-0.0030598491,0.0433134,9.331533,1.827035,1,0,2.6688354,0.9616395,1
4.9444,12.0,12.447368421052632,2.210526315789474,1179.0,2.068421052631579,33.79,-116.42,2.85,33.79,-116.42,0.20038098,-0.0084299445,0.3780743,-0.025800217,-0.00013468321,0.46775788,0.43238938,-0.84561515,0.20038098,0.43238938,-0.84561515,0.46775788,0.3780743,-0.0084299445,-0.00013468321,-0.025800217,-0.089076996,0.03047876,-0.19994377,0.0775176,-0.023235977,-0.0989909,0.032793835,0.031778052,-0.040280566,-0.062388778,0.014973462,0.065375,5.782981,3.5266669,1,0,1.5706114,2.6778648,1
2.9,24.0,4.4019047619047615,1.020952380952381,1005.0,1.9142857142857144,32.77,-117.01,1.852,32.77,-117.01,-0.26545304,6.709248e-05,-0.14423135,-0.004300516,-0.0026107766,0.61765295,1.1152515,-0.73768616,-0.26545304,1.1152515,-0.73768616,0.61765295,-0.14423135,6.709248e-05,-0.0026107766,-0.004300516,-0.33591646,-0.11575019,-0.029438138,0.012707684,-0.015672266,-0.053739395,0.0149746835,0.047175586,-0.028903484,-0.07445097,0.033480406,-0.019723743,5.7069016,2.50863,1,0,-1.7793676,2.0529215,1
3.5057,36.0,5.544117647058823,1.0252100840336134,1111.0,2.3340336134453783,37.94,-122.07,2.051,37.94,-122.07,-0.17599921,0.018147234,-0.03030651,-0.004764775,0.0017307186,0.2481163,-0.4382223,0.65364206,-0.17599921,-0.4382223,0.65364206,0.2481163,-0.03030651,0.018147234,0.0017307186,-0.004764775,-0.2487284,1.2673438e-05,0.0071785897,0.027419481,0.012939349,-0.013631415,-0.04869929,-0.062206835,-0.03532365,0.0031756312,-0.002304256,0.003417164,-2.5802362,6.1325345,13,-1,12.495544,4.808713,0
3.0132,47.0,5.606217616580311,1.0259067357512954,455.0,2.357512953367876,34.03,-118.32,2.232,34.03,-118.32,-0.28731695,0.019432537,-0.014275264,-0.0028337478,-0.031278614,0.19894594,0.3821414,-0.09630581,-0.28731695,0.3821414,-0.09630581,0.19894594,-0.014275264,0.019432537,-0.031278614,-0.0028337478,0.015132502,-0.041664615,-0.0069824606,0.010704113,-0.00022055954,-0.047262516,0.032983616,0.036854297,-0.033300072,0.007130716,-0.024584416,0.014290452,11.757223,9.657194,1,0,0.07002208,5.446204,1
6.5987,24.0,7.375565610859729,1.0361990950226243,1383.0,3.1289592760180995,33.72,-117.82,2.728,33.72,-117.82,1.0586802,0.0023427773,0.26524508,-0.0024121236,-0.0026376164,-0.12817724,0.58565617,-0.33343855,1.0586802,0.58565617,-0.33343855,-0.12817724,0.26524508,0.0023427773,-0.0026376164,-0.0024121236,0.031064957,-0.028189916,-0.007355273,-0.062994935,-0.107153416,-0.054431953,-0.045349896,-0.010460645,-0.010704786,0.01798983,-0.006582707,0.029825449,8.8959055,2.4553208,1,0,1.8268527,1.8178,1
5.0855,26.0,6.685121107266436,0.9688581314878892,886.0,3.065743944636678,34.22,-118.86,2.322,34.22,-118.86,0.2982887,0.012459984,0.15138161,0.000103334896,-0.012164637,-0.11645342,0.3873127,0.09402159,0.2982887,0.3873127,0.09402159,-0.11645342,0.15138161,0.012459984,-0.012164637,0.000103334896,-0.068363376,-0.080906235,-0.014369018,0.0037463456,-0.032911185,0.008193055,-0.018462226,-0.0029536486,0.0051954836,0.009799296,-0.0054211067,0.04498057,12.463857,5.1572137,1,0,-1.3593897,4.944096,1
4.3882,29.0,5.0618181818181816,1.058181818181818,1278.0,2.323636363636364,33.96,-118.11,2.616,33.96,-118.11,0.008318435,0.023647547,-0.094663866,-0.0022554179,-0.003067769,0.20860311,0.24801949,-0.18663152,0.008318435,0.24801949,-0.18663152,0.20860311,-0.094663866,0.023647547,-0.003067769,-0.0022554179,0.060956802,0.057103306,0.03029254,0.003922414,-0.035128474,0.015187513,0.02743046,0.026281804,0.02860491,-0.01251924,-0.003734693,-0.020106986,10.135505,5.143851,1,0,2.5351708,4.290959,1
